run,iteration,topic,num_rel,num_rel_ret,recip_rank,P_5,P_10,P_20,infAP,ndcg,ndcg_cut_5,ndcg_cut_10,ndcg_cut_20,map_cut_5,map_cut_10,map_cut_20,success_1,success_5,success_10
axxxxaax,1,all,5,3,1.0000,0.2000,0.3000,0.1500,0.3524,0.5730,0.3392,0.5730,0.5730,0.2000,0.3524,0.3524,1.0000,1.0000,1.0000
axaaaaxa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8100,0.9068,0.7860,0.9068,0.9068,0.6433,0.8100,0.8100,1.0000,1.0000,1.0000
xxaaaxaxaa,1,all,5,5,0.3333,0.6000,0.5000,0.2500,0.5121,0.6620,0.4469,0.6620,0.6620,0.2867,0.5121,0.5121,0.0000,1.0000,1.0000
aaaaxaxxax,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9667,0.9896,0.8688,0.9896,0.9896,0.8000,0.9667,0.9667,1.0000,1.0000,1.0000
axxxaxxaxx,1,all,5,3,1.0000,0.4000,0.3000,0.1500,0.3550,0.5774,0.4704,0.5774,0.5774,0.2800,0.3550,0.3550,1.0000,1.0000,1.0000
axaaxa,1,all,5,4,1.0000,0.6000,0.4000,0.2000,0.6167,0.7756,0.6548,0.7756,0.7756,0.4833,0.6167,0.6167,1.0000,1.0000,1.0000
xaaaaaxaax,1,all,5,5,0.5000,0.8000,0.5000,0.2500,0.7100,0.7817,0.6608,0.7817,0.7817,0.5433,0.7100,0.7100,0.0000,1.0000,1.0000
axaaaaxax,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.8100,0.9068,0.7860,0.9068,0.9068,0.6433,0.8100,0.8100,1.0000,1.0000,1.0000
aaaxaaaaxa,1,all,5,5,1.0000,0.8000,0.5000,0.2500,0.9267,0.9747,0.8539,0.9747,0.9747,0.7600,0.9267,0.9267,1.0000,1.0000,1.0000
xxxaxaxxa,1,all,5,3,0.2500,0.2000,0.3000,0.1500,0.1833,0.3690,0.1461,0.3690,0.3690,0.0500,0.1833,0.1833,0.0000,1.0000,1.0000
axxaxxxa,1,1,5,3,1.0000,0.4000,0.3000,0.1500,0.3750,0.5922,0.4852,0.5922,0.5922,0.3000,0.3750,0.3750,1.0000,1.0000,1.0000
aaxxaaax,1,all,5,5,1.0000,0.6000,0.5000,0.2500,0.7962,0.9182,0.6844,0.9182,0.9182,0.5200,0.7962,0.7962,1.0000,1.0000,1.0000
xaxaaaaaxx,1,1,5,5,0.5000,0.6000,0.5000,0.2500,0.5962,0.7251,0.4913,0.7251,0.7251,0.3200,0.5962,0.5962,0.0000,1.0000,1.0000
