,run,iteration,topic,rbu_0.800_0.001,rbu_0.800_0.050,rbu_0.800_0.100,rbu_0.800_0.500,rbu_0.900_0.001,rbu_0.900_0.050,rbu_0.900_0.100,rbu_0.900_0.500,rbu_0.990_0.001,rbu_0.990_0.050,rbu_0.990_0.100,rbu_0.990_0.500,alpha-DCG,NRBP,strec,ERR-IA,alpha-nDCG,nNRBP,MAP-IA,nERR-IA,P-IA,act,nct,nsDCG,p,rtime,ntime,ttime,nEU
1678,GT_TenthIterBaseline,1,36,0.11571072,-0.016064,-0.150528,-1.22624,0.159073785,-0.021520125,-0.205799625,-1.680035625,0.207716390878,-0.0300308770575,-0.272630130052,-2.21342415401,0.278657,0.210938,0.5,0.226929,0.385898,0.328125,0.007246,0.339367,0.2,0.1,0.1684211,0.1326579,0.4,1.0,-1.0,-95.85508,0.9453959
1679,GT_TenthIterBaseline,1,35,0.12531072,-0.006464,-0.140928,-1.21664,0.15831441,-0.0222795,-0.206559,-1.680795,0.19116801494,-0.046579252995,-0.28917850599,-2.22997252995,0.0831,0.075,0.2,0.072617,0.168022,0.170473,0.025,0.157068,0.04,0.064,0.1254902,0.2109081,0.2,1.0,-1.0,-63.47182,0.9617499
1680,GT_TenthIterBaseline,1,34,0.16115072,0.029376,-0.105088,-1.1808,0.29155941,0.1109655,-0.073314,-1.54755,0.47064303989,0.232895771955,-0.00970348104,-1.950497505,0.127382,0.023438,0.5,0.072617,0.158516,0.027027,0.033333,0.085714,0.1,0.04,0.2222222,0.1261201,0.2,1.0,-1.0,-109.67746,0.9669513
1681,GT_TenthIterBaseline,1,24,0.16660615631,0.0348314363099,-0.0996325636901,-1.17534456369,0.218506461029,0.0379125510286,-0.146366948971,-1.62060294897,0.278438259585,0.0406909916495,-0.201908261346,-2.14270228531,0.397763,0.315607,0.636364,0.352771,0.498988,0.416608,0.019082,0.456,0.327273,0.2430682,0.3482955,0.3597327,1.0,1.0,-1.0,-84.1387,0.3018932
1682,GT_TenthIterBaseline,1,25,0.05875072,-0.073024,-0.207488,-1.2832,0.10019691,-0.080397,-0.2646765,-1.7389125,0.154446853265,-0.08330041467,-0.325899667665,-2.26669369163,0.134597,0.035156,0.5,0.081694,0.203812,0.059396,0.001938,0.132515,0.1,0.03,0.1059603,0.08387,0.4,1.0,-1.0,-70.89898,0.84048
1683,GT_TenthIterBaseline,1,26,-0.00268928,-0.134464,-0.268928,-1.34464,-0.00368559,-0.1842795,-0.368559,-1.842795,-0.0048519850599,-0.242599252995,-0.48519850599,-2.42599252995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-76.05868,0.4463165
1684,GT_TenthIterBaseline,1,27,0.197351688858,0.0655769688581,-0.0688870311419,-1.14459903114,0.30046123526,0.11986732526,-0.0644121747405,-1.53864817474,0.435449483636,0.197702215701,-0.0448970372942,-1.98569106125,0.342494,0.251953,0.75,0.29652,0.390642,0.30337,0.00233,0.350469,0.2,0.265,0.575,0.2804836,0.6,1.0,-1.0,-107.48722,0.5187143
1685,GT_TenthIterBaseline,1,20,0.225743682869,0.0939689628694,-0.0404950371306,-1.11620703713,0.265844417501,0.0852505075011,-0.0990289924989,-1.5732649925,0.305570777549,0.0678235096141,-0.174775743381,-2.11556976734,0.552851,0.583008,0.666667,0.575391,0.552851,0.58301,0.005797,0.575391,0.4,0.4666667,0.4666667,0.3560279,1.0,1.0,-1.0,-368.91904,0.3436831
1686,GT_TenthIterBaseline,1,21,0.34291072,0.211136,0.076672,-0.99904,0.44232066,0.26172675,0.07744725,-1.39678875,0.545235265565,0.30748799763,0.064888744635,-1.87590527932,0.450954,0.386719,1.0,0.385779,0.482075,0.40994,0.082157,0.408654,0.25,0.17,0.2656827,0.2313698,0.4,1.0,-1.0,-80.07412,0.8830956
1687,GT_TenthIterBaseline,1,22,0.404907221458,0.273132501458,0.138668501458,-0.937043498542,0.500125652711,0.319531742711,0.135252242711,-1.33898375729,0.604118716108,0.366371448173,0.123772195178,-1.81702182878,0.834577,0.837891,1.0,0.850983,0.834577,0.837973,0.12474,0.850983,0.45,0.57,0.65,0.5004396,0.6,1.0,-1.0,-87.69082,0.8591672
