iteration,dimensions,metric,mu,m_ij,set_ij,m_set_ij
7,strec,rbu_0.990_0.050,0.17845031919670967,58528.0,81888.0,46335.0
7,ttime,act,-0.009542588708212393,58528.0,59309.0,29459.0
7,ttime,nct,0.2513353951526337,58528.0,59309.0,35298.0
7,ttime,nEU,0.05804790205942661,58528.0,59309.0,30872.0
7,ttime,nsDCG,-0.49738090082593517,58528.0,59309.0,21007.0
7,ttime,alpha-nDCG,-0.37315546975515984,58528.0,59309.0,22896.0
7,ttime,nERR-IA,-0.3088881588603704,58528.0,59309.0,23939.0
7,ttime,rbu_0.990_0.050,0.483503866370775,58528.0,59309.0,41461.0
7,strec+p,act,0.7774665665394159,58528.0,61389.0,52614.0
7,strec+p,nct,0.7774939866430173,58528.0,61389.0,52615.0
7,strec+p,nEU,0.47861903805474704,58528.0,61389.0,42770.0
7,strec+p,nsDCG,0.7794394831421138,58528.0,61389.0,52686.0
7,strec+p,alpha-nDCG,0.8007764887169295,58528.0,61389.0,53471.0
7,strec+p,nERR-IA,0.7793847163188788,58528.0,61389.0,52684.0
7,strec+p,rbu_0.990_0.050,0.4631889974851409,58528.0,61389.0,42315.0
7,strec+ttime,act,0.6218376659998145,58528.0,32626.0,25103.0
7,strec+ttime,nct,0.7829555450603756,58528.0,32626.0,28069.0
7,strec+ttime,nEU,0.5195613072143754,58528.0,32626.0,23385.0
7,strec+ttime,nsDCG,0.3008144558541797,58528.0,32626.0,20095.0
7,strec+ttime,alpha-nDCG,0.42675211173384725,58528.0,32626.0,21928.0
7,strec+ttime,nERR-IA,0.43266130643679324,58528.0,32626.0,22018.0
7,strec+ttime,rbu_0.990_0.050,0.7095743137778445,58528.0,32626.0,26677.0
7,p+ttime,act,0.7142504508913756,58528.0,30637.0,25132.0
7,p+ttime,nct,0.8877683362635842,58528.0,30637.0,28344.0
7,p+ttime,nEU,0.5667179904461229,58528.0,30637.0,22689.0
7,p+ttime,nsDCG,0.3791598700909431,58528.0,30637.0,19923.0
7,p+ttime,alpha-nDCG,0.46551904765296254,58528.0,30637.0,21152.0
7,p+ttime,nERR-IA,0.49635727581799977,58528.0,30637.0,21609.0
7,p+ttime,rbu_0.990_0.050,0.8661272484579658,58528.0,30637.0,27922.0
7,strec+p+ttime,act,0.7766359989196276,58528.0,26242.0,22478.0
7,strec+p+ttime,nct,0.912516542390164,58528.0,26242.0,24698.0
7,strec+p+ttime,nEU,0.6644977550657032,58528.0,26242.0,20797.0
7,strec+p+ttime,nsDCG,0.5498296314031011,58528.0,26242.0,19208.0
7,strec+p+ttime,alpha-nDCG,0.6397292493075984,58528.0,26242.0,20443.0
7,strec+p+ttime,nERR-IA,0.6313066919703976,58528.0,26242.0,20324.0
7,strec+p+ttime,rbu_0.990_0.050,0.8717577262904636,58528.0,26242.0,24010.0
6,p,act,0.7383497101653964,58528.0,66885.0,55791.0
6,p,nct,0.7627343021820218,58528.0,66885.0,56742.0
6,p,nEU,0.44624336711665474,58528.0,66885.0,45565.0
